Experience (Years),Education Level,Job Role,Location,Skills,Salary
6,PhD,Software Engineer,Suburban,Machine Learning,870715
19,Bachelors,Data Scientist,Urban,"SQL,Machine Learning",1672249
14,Masters,Data Scientist,Rural,Java,664167
10,Bachelors,HR,Urban,"Leadership,SQL",1695385
7,PhD,Others,Urban,SQL,987281
20,PhD,Software Engineer,Urban,"Java,Communication",1644027
6,Masters,Software Engineer,Rural,"Communication,Leadership",720571
18,Bachelors,Manager,Rural,"Python,Machine Learning,Communication",1475592
10,PhD,Data Scientist,Urban,Java,1091267
10,Masters,Others,Urban,"Python,Java",797562
20,PhD,HR,Suburban,"Leadership,Python",683934
3,PhD,Data Scientist,Urban,Communication,617428
7,Bachelors,HR,Suburban,Communication,1667763
2,PhD,Manager,Urban,"Communication,Leadership,Communication",1342892
20,Bachelors,Manager,Suburban,"SQL,Machine Learning,Java",990907
1,PhD,Software Engineer,Rural,"Communication,Leadership,Python",382844
11,Masters,Others,Urban,Leadership,1513997
5,PhD,HR,Urban,Python,422402
1,Bachelors,Data Scientist,Urban,"Leadership,Leadership",1466588
20,Bachelors,Manager,Urban,Machine Learning,738661
0,Masters,Software Engineer,Suburban,"Java,Communication",698929
11,PhD,Software Engineer,Urban,"Machine Learning,Python,Leadership",880466
11,PhD,HR,Rural,"Communication,Java",873695
16,Masters,Manager,Rural,"Leadership,Communication",763556
9,PhD,Others,Urban,"Machine Learning,Java",875278
15,PhD,Manager,Rural,"SQL,Java",1293176
14,Bachelors,HR,Urban,Communication,1478049
14,PhD,HR,Urban,Machine Learning,1283049
18,PhD,Manager,Rural,"Java,Python,Machine Learning",778007
11,Masters,HR,Urban,"Machine Learning,Machine Learning,Java",1144573
19,Masters,Manager,Rural,"Machine Learning,Python,Python",1765585
2,Bachelors,Data Scientist,Suburban,SQL,1667290
4,PhD,Manager,Urban,"Communication,Machine Learning,SQL",1574732
18,PhD,Manager,Suburban,Python,1517540
6,PhD,HR,Rural,"SQL,Machine Learning",825303
20,Bachelors,HR,Suburban,Communication,1410389
8,Bachelors,Software Engineer,Suburban,"Leadership,Java,Communication",327712
6,Masters,Software Engineer,Rural,"Java,SQL,Python",412816
17,Bachelors,Data Scientist,Suburban,"Communication,Java",1477354
3,PhD,Software Engineer,Suburban,"Java,Leadership",585977
13,PhD,Manager,Rural,"SQL,Python",435230
17,Bachelors,HR,Suburban,"Machine Learning,Java,Communication",1106741
8,PhD,Software Engineer,Rural,"Communication,SQL",569114
20,PhD,Software Engineer,Suburban,Machine Learning,1683194
1,Bachelors,Data Scientist,Rural,Communication,1304208
19,Bachelors,Data Scientist,Rural,Python,451456
14,PhD,Manager,Suburban,"Communication,Python",1162312
6,PhD,HR,Suburban,"Python,SQL,Machine Learning",1454146
11,PhD,Data Scientist,Suburban,"Python,Leadership",570846
7,Masters,Software Engineer,Urban,Machine Learning,300404
14,Masters,HR,Urban,Communication,1258447
2,Masters,HR,Urban,"Python,SQL,Python",1003286
13,Bachelors,Software Engineer,Rural,"Python,Python",1623483
16,Masters,Data Scientist,Suburban,"Machine Learning,Python",1015460
3,Bachelors,Software Engineer,Rural,"Communication,SQL",1184574
17,Bachelors,HR,Urban,"Python,Machine Learning,Machine Learning",535365
7,Masters,Others,Suburban,Python,642786
3,Masters,Others,Rural,"Machine Learning,Python,Machine Learning",1399188
1,Masters,Manager,Suburban,"Machine Learning,SQL",1110006
5,PhD,Software Engineer,Rural,"Communication,Communication",500244
9,Masters,Software Engineer,Suburban,"Machine Learning,Python,Machine Learning",1353385
3,PhD,Manager,Urban,"Communication,Machine Learning,Communication",463273
17,Bachelors,Manager,Urban,"Python,Communication,Communication",1493104
11,PhD,Manager,Suburban,"Java,Leadership",1798189
1,Masters,HR,Rural,"Java,Communication,SQL",1387341
9,Bachelors,Software Engineer,Urban,"Communication,SQL,SQL",1664652
3,Bachelors,HR,Urban,"Machine Learning,Python",1234604
13,Bachelors,Manager,Urban,"Java,Machine Learning",1143523
15,PhD,Software Engineer,Suburban,Communication,846237
14,Masters,HR,Suburban,"Leadership,Communication",1549728
7,Bachelors,HR,Rural,"Python,Java",1648464
13,Bachelors,Manager,Rural,"Java,Java,Communication",1000903
7,Bachelors,Software Engineer,Rural,Communication,392193
20,PhD,Manager,Suburban,"SQL,Communication",1384763
15,PhD,Software Engineer,Suburban,Leadership,805950
12,Masters,Others,Rural,Python,1486887
17,PhD,Data Scientist,Rural,Machine Learning,1210886
14,Bachelors,Data Scientist,Suburban,"Machine Learning,SQL",1100921
20,Masters,Data Scientist,Rural,Machine Learning,808153
12,Bachelors,Manager,Urban,"SQL,Java",1537665
8,Bachelors,Others,Suburban,"SQL,Leadership",886165
14,PhD,Software Engineer,Rural,"Communication,Communication,Java",1784917
12,Masters,HR,Suburban,"Java,Machine Learning",1660642
0,PhD,Software Engineer,Urban,Python,918362
6,PhD,HR,Suburban,"Python,SQL,Communication",987409
8,Masters,Software Engineer,Suburban,"Python,Machine Learning",861419
0,Bachelors,Others,Suburban,Python,940053
11,Bachelors,HR,Suburban,Leadership,1160395
7,Masters,Manager,Urban,Leadership,425917
